11 110
1 4 -4
1 3 2
1 8 3
1 6 6
1 10 4
1 11 -9
1 9 9
1 2 9
1 5 3
1 7 0
2 6 2
2 7 9
2 11 1
2 3 0
2 9 -7
2 10 -8
2 8 -9
2 1 -4
2 5 -1
2 4 3
3 2 -8
3 5 -7
3 6 1
3 9 10
3 1 -3
3 8 9
3 7 2
3 4 9
3 11 -5
3 10 -10
4 9 -3
4 2 2
4 7 -8
4 6 10
4 3 -9
4 5 -4
4 10 5
4 1 9
4 8 -7
4 11 -3
5 1 -6
5 2 -8
5 3 -7
5 10 6
5 11 -3
5 8 -7
5 4 6
5 6 -6
5 9 -10
5 7 6
6 8 7
6 9 -9
6 5 -3
6 3 -9
6 7 9
6 2 6
6 10 -2
6 1 9
6 4 8
6 11 -6
7 11 -2
7 3 6
7 1 1
7 8 -9
7 2 -2
7 9 2
7 5 -2
7 4 3
7 10 0
7 6 0
8 9 4
8 6 -8
8 3 -2
8 10 -8
8 5 -1
8 1 0
8 4 5
8 7 6
8 11 5
8 2 0
9 11 8
9 10 6
9 3 -1
9 6 -10
9 1 -3
9 5 -4
9 8 -4
9 2 4
9 4 5
9 7 1
10 7 4
10 6 -9
10 8 -7
10 4 2
10 1 8
10 2 -10
10 3 9
10 9 -3
10 5 -8
10 11 -1
11 8 0
11 5 -3
11 7 9
11 2 -5
11 1 -3
11 3 -8
11 6 -5
11 9 -8
11 4 -9
11 10 10
