67 436
1 65 2
1 23 -4
1 67 7
1 51 -9
1 24 -5
1 42 -8
1 63 -8
1 48 -4
2 36 7
2 26 3
2 49 3
2 50 9
2 57 1
3 42 -9
3 50 -4
3 53 -1
3 31 -8
4 58 1
4 45 10
4 22 -2
4 49 10
4 17 9
5 54 -6
5 26 -10
5 58 -7
5 13 10
5 53 -7
6 1 -9
6 15 10
6 21 -10
6 56 -6
6 8 2
6 42 -8
6 67 10
7 54 -9
7 32 10
7 29 9
7 52 10
7 64 -8
7 26 -2
7 37 5
7 28 -10
7 21 -4
7 17 0
7 25 1
8 54 -1
8 32 2
8 37 -2
8 10 0
8 12 -2
8 5 5
9 29 -6
9 37 -1
9 11 9
10 61 -9
10 65 -8
10 51 -2
10 25 6
10 57 10
11 8 -4
11 27 6
11 6 7
11 42 -8
11 35 10
11 4 0
11 52 0
12 67 -8
12 35 -4
12 28 7
12 49 -5
13 58 -6
13 12 2
13 53 4
13 27 0
13 39 -3
13 11 -8
13 20 9
14 1 5
14 36 5
14 47 -9
15 62 5
15 47 0
15 39 7
15 22 -8
16 39 -6
16 45 -1
16 4 7
16 14 8
16 26 4
16 2 -7
16 37 5
16 10 6
17 60 -7
17 48 7
17 34 7
17 41 6
17 39 -5
17 10 -10
17 31 2
17 44 0
18 26 -6
18 63 -5
18 62 -4
18 29 0
18 12 -9
18 50 -2
19 17 -8
19 23 1
19 49 7
19 37 7
19 26 4
19 8 3
19 9 -9
19 56 -4
19 44 -6
19 45 -3
20 58 7
20 29 0
20 19 -2
20 16 -1
20 62 -8
20 9 -1
20 13 -2
21 49 5
21 30 -9
21 4 7
21 20 -6
21 18 -10
21 53 -8
21 60 -4
21 45 10
21 7 7
21 66 -7
22 6 7
22 34 4
22 49 -9
22 43 -1
23 37 -6
23 57 -4
23 29 2
23 26 8
23 22 6
23 34 -7
24 21 -8
24 28 -2
24 1 6
24 22 7
24 14 3
24 39 7
25 35 -5
25 20 -10
25 19 3
25 6 4
25 49 -2
25 54 -2
25 58 6
26 23 -3
26 34 4
26 55 9
26 62 1
26 4 6
27 45 -3
27 36 8
27 18 9
27 56 2
28 67 0
28 48 -7
28 38 5
28 39 -10
28 31 2
29 19 -7
29 51 -7
29 43 -3
30 13 7
30 67 -5
30 19 9
30 49 -8
30 35 -3
30 65 6
30 12 -4
30 20 -5
30 34 4
31 49 9
31 52 5
31 34 1
31 14 -5
31 11 -1
31 35 -10
31 44 -10
32 9 -5
32 61 -8
33 55 -3
33 48 -10
33 53 -4
33 18 7
33 25 -10
33 54 2
33 37 8
33 39 6
33 10 5
34 63 5
34 35 -8
34 18 -3
34 19 -7
34 43 -3
34 57 -9
34 2 2
34 3 10
34 17 1
34 55 -9
35 30 3
35 55 1
35 18 8
35 8 -8
35 49 10
35 54 -9
35 21 -1
36 18 8
36 2 -3
36 51 -10
36 7 -1
36 1 4
36 44 -4
36 19 -6
37 29 -2
37 58 -5
37 60 -1
37 1 -9
37 61 10
37 55 0
37 12 9
37 22 -6
37 17 -6
37 66 9
37 7 8
37 46 8
37 64 10
37 25 4
37 67 10
37 48 3
38 66 -5
38 2 -4
