100 474
1 99 -5
1 85 -5
1 13 1
1 16 9
2 6 2
2 83 -7
2 12 -8
2 67 -7
3 34 4
3 5 0
4 85 2
4 32 6
4 1 3
4 51 9
4 88 -10
5 82 -7
5 91 -5
5 42 5
5 6 2
5 53 9
5 24 10
6 12 -5
6 82 10
6 62 8
7 74 7
7 17 8
7 52 -6
7 10 -8
7 33 0
7 5 1
8 47 2
9 11 3
9 29 8
10 86 6
10 22 -9
10 100 -8
11 69 -7
11 36 -1
11 51 -2
11 31 -3
12 88 3
12 96 9
12 39 -8
13 65 -10
13 95 -1
13 27 -3
13 12 -8
14 22 4
14 74 1
14 80 -4
14 58 1
14 17 -3
15 58 -1
15 23 6
15 33 9
15 13 -3
15 40 3
15 95 -2
15 92 -4
15 32 5
15 93 1
15 38 -5
15 10 -2
15 48 1
15 6 1
15 83 6
16 67 3
16 34 8
17 33 8
17 69 3
17 63 0
17 100 1
18 81 0
18 12 -8
18 17 3
18 83 -3
18 62 2
18 100 7
18 99 -10
18 60 -2
18 28 4
19 34 5
19 72 -6
19 39 0
19 93 1
19 4 6
19 48 -1
19 12 7
20 68 -7
20 85 -3
20 90 -5
20 100 8
21 28 -2
21 90 1
21 91 4
22 16 -5
22 51 3
22 32 -10
22 36 4
22 79 5
22 42 -2
23 42 6
23 87 -4
23 3 4
23 5 -3
23 24 -6
23 57 -4
23 53 -7
23 19 -6
23 81 8
23 39 9
23 31 -2
24 2 1
24 94 -6
24 99 -6
24 11 2
25 4 -8
25 52 0
25 65 9
26 7 -4
26 62 4
26 33 6
27 83 6
27 70 -10
27 32 -9
27 50 0
27 23 -1
27 34 3
27 53 9
28 43 3
28 48 -7
28 88 1
28 31 -4
28 68 -9
28 96 4
28 9 -8
28 39 6
29 22 0
29 33 -7
29 52 -7
30 88 -5
31 65 7
31 88 -3
31 57 -8
31 97 -3
31 67 10
32 25 9
32 57 7
32 60 5
32 98 -1
32 87 10
32 23 3
33 4 -5
34 1 4
34 5 -4
34 86 -2
34 100 -7
35 1 7
35 41 -8
35 96 2
35 87 -1
35 34 -1
36 97 -8
36 20 -7
36 4 2
36 16 -9
36 89 -3
36 95 -7
36 7 0
37 91 -8
37 43 -5
37 97 7
37 83 -5
38 19 -10
38 44 -10
38 23 -1
38 95 10
38 35 -6
39 57 7
39 85 -4
39 5 4
39 91 -10
39 93 10
39 41 -6
39 16 5
39 96 -3
40 15 -5
40 5 0
40 60 -3
41 89 -2
41 14 -2
41 48 2
41 82 -10
41 62 7
41 92 7
41 35 5
41 86 -6
41 22 -7
42 8 7
42 70 -2
