100 446
1 66 7
1 14 -9
2 42 8
2 62 7
2 33 6
2 78 1
2 48 -10
2 5 9
3 58 -6
3 24 8
3 22 3
4 32 3
4 19 -8
4 16 5
4 51 -7
4 83 -9
4 27 -8
5 1 -7
5 88 -10
5 40 7
5 25 -2
6 18 10
6 86 6
6 88 6
6 98 -2
6 51 4
6 32 -10
6 79 9
7 28 -6
7 54 -2
7 88 -4
8 35 -5
9 21 10
9 16 8
9 60 -2
9 83 8
9 70 3
9 30 1
10 81 -7
10 87 -8
10 36 -7
10 74 -6
10 79 -6
10 64 1
11 25 4
11 48 -6
12 24 -10
12 81 1
12 34 -3
12 73 -5
12 38 -10
12 19 2
13 99 5
13 57 4
13 63 -7
13 69 -1
14 6 -5
14 61 -9
14 55 -8
14 59 -10
15 7 6
15 80 4
15 89 8
15 90 8
15 38 -9
15 76 5
16 11 -3
16 33 -3
17 59 2
17 16 -3
17 84 1
17 40 -7
17 87 0
17 78 1
17 5 1
17 32 5
18 100 7
18 42 -1
18 96 -5
19 24 6
19 39 0
19 7 2
19 41 -6
19 81 4
20 73 6
20 99 9
20 88 4
20 13 9
20 12 3
21 18 -9
21 54 -3
21 85 5
21 45 8
21 74 8
21 86 -10
22 6 8
22 89 -7
22 62 7
23 20 9
23 57 -5
23 27 7
24 82 -4
24 69 2
24 5 -5
24 80 -4
24 93 -2
25 29 -1
25 51 -9
25 3 -8
26 97 -5
26 100 1
26 56 -8
26 69 -10
27 68 7
27 61 10
27 65 7
27 12 -4
27 83 -7
28 93 -3
28 41 6
28 72 -4
28 52 -6
28 81 -3
29 27 -8
29 8 4
29 75 -6
29 51 -8
29 82 2
30 21 1
30 44 -8
30 53 -8
30 33 -2
30 82 -10
30 11 -1
31 48 7
32 28 -9
32 99 -6
32 39 -5
32 35 10
32 80 2
32 16 -4
33 71 10
33 95 -1
33 16 0
33 15 -6
33 14 -5
34 35 -3
34 16 7
34 21 -10
34 79 -4
35 5 6
35 20 4
35 24 -3
36 62 5
36 28 -8
37 78 -5
37 3 -1
37 93 -9
38 75 6
38 64 -8
39 20 9
39 95 10
39 42 -1
39 84 -2
39 11 10
40 80 -6
40 3 -10
40 30 10
40 61 -10
40 72 -8
41 97 9
41 35 -5
41 10 -6
41 31 -9
42 13 8
42 36 -8
42 38 8
42 52 9
42 84 -10
42 100 0
42 77 -2
43 15 2
43 1 1
44 2 8
44 97 5
44 10 7
44 87 3
44 14 1
45 69 -7
45 12 -2
45 13 8
46 82 -9
46 29 3
46 63 -5
47 52 -6
47 78 10
47 11 -8
47 30 3
48 31 6
48 40 -3
48 26 7
48 38 -4
48 27 -3
48 28 10
48 99 4
49 55 10
49 59 -10
50 56 6
50 72 -3
50 88 6
50 53 7
50 97 -9
51 78 4
51 49 -4
51 33 6
51 76 -3
51 3 -9
51 34 5
52 48 6
52 56 -5
52 76 5
52 75 -6
52 41 1
53 7 -5
53 88 0
53 74 5
53 68 7
53 90 6
54 83 -6
54 42 4
54 68 9
55 82 9
55 30 -4
55 49 5
56 100 10
56 23 9
56 22 -3
57 86 6
57 84 -10
57 26 3
57 70 8
57 79 6
57 83 -10
57 42 1
58 3 5
58 94 0
58 50 10
58 34 -5
59 34 6
59 15 9
59 9 -8
59 27 9
59 71 6
59 22 -10
59 33 5
59 51 -2
59 48 4
59 19 -3
60 70 -2
60 87 -3
60 46 -2
60 30 3
60 61 9
60 89 -3
60 64 6
61 77 2
61 62 0
61 16 3
61 31 10
61 97 -2
61 78 -5
61 46 -10
61 49 7
61 38 8
61 82 0
61 89 8
61 28 6
62 95 2
62 86 -5
62 8 -9
62 76 -6
62 34 -10
62 56 -6
62 16 -4
63 62 7
63 44 -6
63 86 -10
63 23 -6
64 14 -5
64 41 -10
64 70 10
65 34 -7
66 95 -5
67 17 -7
67 56 -5
68 48 8
68 31 -8
68 78 -7
69 46 -4
69 19 5
69 2 7
69 75 -7
69 34 2
69 82 -8
69 90 6
70 24 -4
70 94 -9
70 43 8
70 93 -10
70 52 -9
71 76 -9
71 59 -4
71 9 -6
71 93 2
72 48 10
72 20 -6
72 43 0
72 16 -3
72 3 -1
73 30 2
73 20 -9
74 65 -3
