67 413
1 13 -7
1 48 0
1 28 -10
1 47 -7
1 61 6
1 52 -2
1 41 -8
2 39 2
2 31 8
2 63 10
2 30 -9
2 62 3
2 26 7
3 35 -10
3 33 4
3 50 10
3 38 2
3 25 -9
3 48 -3
3 66 -8
3 40 -6
4 56 2
4 54 -9
4 33 -10
4 61 -5
4 10 7
4 21 -3
4 11 5
5 62 4
5 61 -7
5 41 -10
5 47 0
5 25 -5
5 55 -1
6 56 0
6 36 -2
6 57 10
6 27 3
6 22 2
6 11 8
6 49 -5
6 16 4
7 52 -4
7 35 1
8 12 -7
8 14 5
8 19 -10
8 42 -8
8 24 5
8 66 3
8 9 1
8 52 5
8 3 -7
8 39 4
8 61 8
9 19 -3
9 47 7
9 24 7
9 59 1
10 25 7
10 58 -7
10 64 -5
10 67 -2
10 24 2
10 41 0
10 42 -7
10 37 -9
10 43 8
11 57 -10
11 40 0
11 22 -9
11 67 -10
11 1 6
11 32 -6
12 23 7
12 47 5
12 48 3
12 11 0
12 31 8
12 50 -8
12 1 2
12 59 -9
12 56 3
12 63 -3
12 62 -4
13 20 9
13 3 -7
13 64 -9
13 21 -9
13 26 5
13 34 9
13 56 -2
13 54 -3
13 49 -4
13 9 4
13 12 8
14 2 6
14 54 0
14 53 4
14 49 -4
14 64 -7
15 28 3
15 48 10
15 4 9
16 29 -6
16 4 8
16 37 -4
16 44 2
16 11 -10
16 27 8
16 63 2
16 19 -6
16 23 10
16 64 4
16 58 0
17 28 7
17 47 1
17 21 -8
17 41 3
17 62 7
17 38 -3
18 66 -10
18 65 -1
18 28 1
18 57 -10
18 14 -10
19 1 5
19 47 8
19 35 -10
19 28 -6
19 24 3
19 2 7
20 13 -1
20 59 8
20 57 4
20 4 6
20 34 -10
20 45 5
20 41 3
21 11 -4
21 33 4
21 28 -2
21 20 -8
21 54 9
22 5 -8
22 36 -9
22 6 -9
23 49 3
23 11 0
23 29 -9
23 8 0
23 18 -4
23 17 5
24 44 9
24 41 -10
24 36 6
24 49 -10
24 14 3
24 27 7
24 56 5
25 45 -6
25 66 2
25 58 -4
25 36 -1
25 12 1
25 57 10
25 11 3
25 10 7
26 24 10
26 49 -8
26 30 -10
26 41 9
26 28 -10
26 67 -1
26 47 6
26 38 1
26 19 4
27 6 0
27 39 2
27 48 1
27 31 6
27 15 1
28 10 10
28 26 -1
28 1 3
28 13 8
28 36 -5
28 41 4
28 11 -1
28 20 -1
29 9 2
29 18 -9
29 13 4
29 23 -2
29 39 -4
29 57 3
29 59 2
29 26 -3
29 66 10
30 54 8
31 44 6
31 7 5
31 18 7
31 45 -4
31 22 -7
31 67 10
31 34 -8
31 50 -3
32 30 10
32 2 -3
32 44 -6
32 56 0
33 48 6
33 12 -1
33 55 -7
33 22 -9
33 63 -3
34 12 7
34 31 -1
34 65 8
34 10 3
34 25 -6
34 35 5
34 43 -3
35 24 -4
35 19 -2
36 22 9
36 1 1
36 57 -1
36 50 -5
36 61 9
36 8 9
36 13 4
36 6 4
36 5 10
36 65 -8
37 25 -9
37 7 7
37 15 9
37 60 2
38 29 -3
38 34 -2
38 24 9
38 49 6
38 21 -4
38 11 0
39 63 8
39 34 3
39 9 9
40 34 8
40 18 -4
40 63 -6
40 52 -3
40 6 10
41 33 8
41 42 -6
41 49 -10
41 54 -5
41 29 0
41 65 -3
41 23 -1
42 59 1
42 49 -2
42 48 4
42 27 7
42 9 0
42 32 -3
42 1 -10
42 8 10
43 18 -8
43 7 6
43 54 8
43 58 3
43 17 8
43 22 -10
43 10 3
44 60 -4
44 51 -7
44 20 1
44 19 2
44 63 -4
45 65 -5
45 60 8
45 3 -7
45 11 -8
45 38 -10
45 40 -10
45 8 -3
45 33 -3
45 13 4
45 61 -6
45 39 7
45 14 6
46 33 5
46 43 10
46 37 -8
46 12 -7
46 14 -7
46 16 -1
46 31 -2
46 27 0
46 21 -4
46 49 -10
46 59 1
47 1 6
47 58 7
47 25 5
47 38 8
48 26 2
48 33 4
48 63 -6
48 21 -7
48 34 2
49 35 3
49 36 10
49 30 -4
49 25 -4
49 62 -10
50 19 2
50 7 -7
50 65 -1
50 57 9
50 12 -9
50 23 -6
50 22 -7
50 10 5
50 44 -9
50 58 -6
51 11 -6
51 28 9
51 13 -2
51 20 -7
51 32 7
51 52 -6
51 63 10
51 67 -2
51 18 0
51 10 -4
52 60 2
52 24 8
52 50 1
52 48 -7
52 15 -7
52 13 -7
53 20 0
53 49 0
53 33 -10
53 54 7
53 15 -5
53 11 -5
54 33 -5
54 31 6
54 43 10
54 24 0
54 22 -8
55 51 -2
55 61 -3
56 63 4
56 52 0
57 45 3
57 2 4
57 31 4
57 63 9
58 2 10
58 38 4
58 11 -9
58 34 6
58 40 1
59 51 8
59 63 4
59 3 9
59 11 -2
59 34 1
59 39 -2
59 40 -8
59 44 -3
60 10 -8
60 25 2
60 19 -10
60 36 -2
61 9 2
61 12 9
61 40 -3
61 24 -4
62 61 0
62 22 -2
62 64 -4
62 10 4
62 59 5
62 21 5
63 52 -6
63 20 -4
63 19 -9
63 24 -10
63 11 -8
63 57 -5
64 18 10
64 6 1
64 47 5
65 7 -7
65 25 10
65 56 -9
65 38 -3
65 2 2
66 34 6
66 3 0
66 39 7
66 33 -6
66 37 -9
67 29 4
67 32 6
67 11 -7
67 52 -4
