42 403
1 22 -7
1 39 10
1 15 8
1 28 0
1 6 -4
1 21 -3
1 30 1
1 32 -8
1 37 3
2 13 10
2 39 -3
2 34 1
2 23 6
2 14 9
2 36 -1
2 33 -9
2 8 8
3 28 2
3 31 0
3 11 -10
3 35 4
3 17 3
3 29 -6
3 14 10
4 36 4
4 22 8
4 6 9
4 30 3
4 28 8
4 37 -3
4 20 -4
4 34 0
4 13 9
4 25 -6
5 10 7
5 40 10
5 32 2
5 25 7
5 20 -9
5 13 6
5 42 -10
5 11 3
5 36 1
5 29 -3
6 31 7
6 11 3
6 13 9
6 26 -6
6 27 8
6 18 10
6 17 -6
6 14 6
6 29 6
6 2 -8
6 20 3
6 24 9
7 36 -7
7 24 -4
7 6 8
7 29 8
7 13 3
7 28 8
7 9 -10
7 23 -3
7 1 -2
8 29 0
8 35 1
8 2 9
8 38 10
8 1 9
8 24 3
8 10 10
8 27 2
8 23 -4
8 16 5
8 12 -8
9 20 -3
9 3 -3
9 35 -7
9 23 4
9 10 -2
9 17 4
9 39 -4
9 28 -6
9 33 -4
10 2 9
10 36 9
10 21 2
10 18 -5
10 11 -6
10 13 7
10 14 -7
11 19 8
11 26 -5
11 36 2
11 15 -8
11 32 0
11 42 -5
11 27 -6
11 35 8
11 23 6
11 4 -1
11 33 -8
11 30 -2
12 42 -3
12 20 2
12 9 10
12 33 8
12 28 10
12 31 2
12 35 7
12 10 6
12 7 -4
12 32 -9
12 37 5
13 18 -2
13 28 -2
13 25 -3
13 24 10
13 34 2
13 22 0
13 17 -7
13 2 -3
13 35 -2
14 21 -6
14 26 7
14 13 9
14 27 0
14 32 1
14 15 -2
14 42 3
14 24 -1
14 18 2
14 37 -3
15 25 -8
15 21 2
15 37 5
15 12 9
15 35 9
15 19 -9
15 40 -5
15 3 1
15 39 -8
15 5 -6
16 39 -8
16 18 1
16 15 -9
16 22 8
16 25 7
16 13 2
16 29 -4
16 19 -6
16 33 -2
16 6 -2
17 34 1
17 30 0
17 40 4
17 28 2
17 1 -9
17 39 0
17 35 -6
17 25 -6
17 7 6
17 21 -4
17 42 -3
18 26 5
18 6 2
18 1 2
18 23 -10
18 2 3
18 38 2
19 7 4
19 35 0
19 26 7
19 24 -2
19 1 5
19 34 -6
19 40 -1
20 38 10
20 30 -8
20 12 0
20 42 3
20 11 7
20 2 -3
20 29 -7
20 23 1
21 3 -1
21 7 -4
21 13 -3
21 2 3
21 29 0
22 24 5
22 17 -10
22 3 0
22 18 9
22 35 -9
22 38 7
22 16 9
22 19 2
22 12 5
23 39 -5
23 14 -10
23 8 6
23 26 8
23 19 1
23 36 -1
23 37 -5
23 25 -10
23 1 6
23 5 -3
23 10 -10
23 21 1
23 13 7
23 20 10
23 3 -3
24 16 2
24 28 1
24 11 0
24 27 -6
24 35 10
24 10 6
24 8 -4
24 15 0
24 26 -9
24 32 3
24 25 2
24 18 9
24 13 5
24 2 6
25 10 -3
25 5 -5
25 6 0
25 40 -2
25 7 6
25 32 5
25 35 2
25 31 -2
25 13 5
26 19 7
26 40 -9
26 15 -10
26 29 -7
26 12 7
26 23 5
26 9 -3
26 22 -5
26 41 0
26 10 8
26 7 -5
27 2 -7
27 6 -8
27 5 0
27 39 -1
27 42 6
27 9 -1
27 30 6
27 40 -2
27 32 -7
27 19 -9
28 18 0
28 29 5
28 26 -4
28 39 8
28 42 2
28 10 -10
28 30 5
28 22 -3
28 4 -3
28 11 -8
28 38 0
28 34 -8
28 31 6
29 33 -3
29 26 -10
29 39 -2
29 21 8
29 9 8
29 35 3
29 25 7
29 12 10
29 16 -8
29 7 8
29 18 -8
29 10 8
29 27 9
29 4 -1
29 30 0
29 24 5
30 31 -4
30 28 3
30 16 0
30 8 8
30 40 0
30 13 -2
30 7 2
31 18 -10
31 13 2
31 28 -5
31 22 1
31 24 6
31 19 7
32 12 8
32 29 3
32 25 -6
32 7 0
32 35 -6
32 11 9
32 6 5
32 40 2
32 23 -8
32 31 10
32 27 3
32 18 -4
32 22 5
33 10 7
33 16 6
33 40 10
33 19 9
33 41 6
33 42 -3
33 14 2
34 1 4
34 41 1
34 13 3
34 29 -1
34 9 5
34 20 4
34 8 -2
34 3 -3
35 34 8
35 38 -1
35 14 -6
35 12 -7
35 27 -7
35 11 -4
35 8 9
35 41 -5
36 17 -9
36 12 -9
36 38 -10
36 26 10
36 8 5
36 18 -1
36 39 9
36 31 0
36 6 2
36 15 10
37 17 -10
37 19 -7
37 27 3
37 5 -9
37 11 3
37 29 -6
37 4 -3
37 23 7
37 15 2
38 34 -6
38 5 -3
38 2 -2
38 12 -3
38 21 4
39 5 -7
39 12 1
39 33 2
39 34 -5
39 35 -1
39 24 10
39 4 5
39 13 9
39 17 1
40 2 -10
40 22 -6
40 34 -9
40 9 8
40 38 -10
40 10 8
40 37 -3
40 3 -4
40 31 3
41 1 9
41 36 -4
41 30 1
41 15 1
41 4 -9
41 22 6
41 27 -7
41 12 -4
41 29 -6
41 26 -9
41 39 -1
41 40 -7
42 34 5
42 19 5
42 16 2
42 28 4
42 15 5
42 18 -2
42 27 8
42 38 -1
42 25 0
42 11 0
42 12 4
42 41 -4
