70 400
1 30 8
1 12 -6
1 48 6
1 67 8
1 35 -9
1 59 -6
1 22 6
1 5 3
2 8 -3
2 57 8
2 39 3
2 42 8
2 24 -8
2 16 -6
2 4 -9
2 20 -10
3 50 -7
3 58 3
3 48 -5
3 4 -1
4 29 6
4 10 3
4 52 8
4 46 10
4 60 9
4 49 3
4 12 -5
4 2 4
4 32 -2
5 46 -1
5 53 6
5 29 1
5 10 -1
5 28 6
5 33 1
6 66 3
6 30 9
6 38 3
6 62 7
6 16 9
6 23 -9
7 13 -10
7 10 -8
7 25 -1
7 37 10
7 28 -10
7 32 1
7 26 4
7 22 -8
7 12 -4
8 10 -2
8 54 -5
8 9 10
8 59 -3
8 38 -1
8 28 -2
8 40 -5
8 12 7
8 44 -3
8 52 8
8 22 3
8 58 1
9 23 10
9 52 -6
9 49 7
9 31 9
9 15 -10
9 29 7
9 32 3
10 14 -1
10 8 1
10 3 -2
10 6 8
10 26 -7
10 7 -2
11 32 -2
11 52 4
11 33 -10
11 1 -9
11 19 1
12 64 -10
12 21 -2
12 17 -3
12 8 6
12 3 10
12 26 -10
13 46 5
13 27 -9
13 47 2
13 6 2
13 50 -3
13 28 2
14 18 6
14 3 3
14 68 3
14 4 3
14 24 -2
14 17 8
14 42 -10
15 38 8
15 27 3
16 46 -1
16 26 -8
16 29 4
16 32 -7
16 53 -8
16 13 -4
17 2 -4
17 9 6
17 46 -2
17 43 0
17 33 6
18 65 -9
18 69 7
18 1 -7
18 50 2
19 55 0
19 42 3
19 21 -5
19 8 5
19 34 -8
20 1 -4
20 44 4
20 8 -6
20 26 5
20 39 -9
20 42 9
20 41 1
20 10 0
20 18 -6
21 56 9
21 52 9
21 64 9
21 48 6
21 16 -8
21 63 -3
21 47 -10
21 54 -4
21 23 9
21 40 4
22 41 2
22 7 0
22 63 0
22 5 10
22 34 -7
22 59 -8
22 33 -10
23 64 -2
23 55 10
23 32 3
23 60 -1
23 44 -7
23 29 10
23 33 -5
23 50 3
23 1 3
25 24 -10
25 37 9
25 49 1
25 9 -3
25 70 -2
26 36 7
26 47 -1
26 13 8
26 61 3
26 49 8
27 3 -3
27 16 -2
27 25 -7
28 10 4
28 40 -2
28 30 5
28 63 5
29 42 -8
29 68 8
29 51 2
29 2 7
29 65 3
29 64 -7
29 6 -8
29 23 -3
30 9 -7
30 45 4
30 44 -5
30 3 8
31 58 8
31 54 -9
31 36 0
31 46 -5
31 35 -5
32 55 7
32 4 6
32 28 -3
32 3 0
32 2 7
32 37 -2
32 52 -7
32 51 -1
33 9 5
33 36 -8
34 7 8
34 61 -4
34 8 7
34 9 10
34 33 4
34 28 6
35 70 -5
35 58 2
35 3 6
35 54 -9
35 46 7
35 63 8
36 12 -7
36 58 0
36 1 -5
37 64 -3
37 62 -5
38 31 8
38 33 -10
38 43 -2
38 60 8
39 20 5
39 17 -3
39 19 2
39 12 3
39 40 5
39 67 -10
39 54 7
40 10 6
40 1 4
40 60 -9
40 16 9
40 61 10
40 18 6
40 53 6
40 20 -9
40 28 -6
41 59 -9
41 57 1
41 17 -1
41 69 0
41 66 4
41 52 6
41 39 -1
42 60 -1
42 56 -3
42 21 -7
42 44 0
42 47 10
42 54 0
43 35 6
43 24 -7
43 9 4
43 18 2
43 58 10
43 26 -1
43 34 -5
44 58 8
44 47 -9
44 59 -3
44 21 -5
44 63 3
44 48 -3
44 1 1
44 30 -2
44 3 5
45 36 6
45 25 6
46 4 8
46 29 3
46 50 -8
46 16 0
47 12 -4
47 58 1
47 67 -10
48 58 9
48 53 8
48 11 8
49 11 6
49 15 -3
49 57 -6
49 28 -1
49 70 -9
49 67 7
49 53 -8
50 10 2
50 64 -7
50 42 7
51 18 2
51 46 -2
51 45 -5
51 49 1
51 41 -1
51 30 -5
51 48 1
52 55 4
52 34 7
52 69 2
52 49 3
52 64 -1
52 11 4
53 60 -7
53 42 10
53 52 3
53 3 -2
54 14 3
54 3 -2
54 68 5
54 70 -8
54 35 4
54 58 1
55 59 -1
55 21 -3
55 23 4
55 16 0
55 13 -10
56 5 -1
56 67 7
56 23 -10
57 33 -6
57 3 -8
57 62 0
57 48 4
57 60 -5
57 13 -6
57 69 2
58 59 6
58 21 8
58 15 -5
58 70 -3
59 39 -9
59 14 7
59 25 3
59 31 -3
59 12 -8
59 70 -3
59 60 -9
59 57 5
59 36 10
60 67 3
60 22 -1
60 26 7
60 47 9
61 50 -4
61 11 10
61 5 -2
61 26 -6
61 23 -8
61 53 -7
61 35 -6
61 58 -9
61 25 -2
61 31 -3
62 29 3
62 25 -7
62 61 -10
62 19 -9
62 8 6
62 6 -3
62 22 -1
63 64 -5
63 41 -1
63 19 7
64 20 -9
64 8 -1
64 37 -10
64 39 3
64 16 -4
64 21 7
64 6 0
65 37 -7
65 27 1
65 60 7
65 68 -9
65 18 5
65 14 7
65 4 8
65 62 9
66 56 5
66 42 9
66 54 -6
66 20 0
66 19 8
66 44 -2
66 47 -7
66 40 -3
67 56 -2
67 24 -5
67 9 -8
68 13 4
68 50 -8
68 27 1
68 58 5
69 43 3
69 12 9
70 66 -10
70 27 -2
70 17 -6
70 35 -7
70 46 1
