56 497
1 10 2
1 46 2
1 48 8
1 42 7
1 19 7
1 14 -6
1 49 -9
1 54 -7
1 36 4
2 16 0
2 7 -9
2 37 -10
2 55 -5
2 24 -4
2 14 3
2 46 8
2 56 5
2 19 5
3 51 -7
3 53 0
3 56 1
3 20 5
3 41 -5
3 33 7
4 48 -5
4 35 -1
4 51 5
4 16 8
4 55 -4
4 49 8
4 37 0
4 56 6
5 41 -2
5 2 -9
5 48 5
5 32 -2
5 30 -1
5 21 -6
5 43 -6
6 39 1
6 25 -4
6 9 10
6 42 1
6 8 0
6 27 0
6 41 9
6 21 5
7 36 8
7 12 3
7 56 -6
7 47 -8
7 6 2
8 23 9
8 24 -7
8 11 0
8 55 -1
8 40 6
8 52 -4
8 43 1
8 21 -9
9 41 -1
9 26 -7
9 56 4
9 42 -9
9 15 -10
9 10 -9
9 40 0
10 45 3
10 40 -8
10 5 10
10 16 10
10 49 3
10 42 9
11 39 -5
11 9 -9
11 3 7
11 32 1
11 38 5
11 41 -5
11 34 1
11 52 7
12 13 -10
12 14 9
12 42 -10
12 33 10
12 31 -10
12 44 -7
12 25 -8
12 35 -2
12 23 -1
12 41 -10
12 8 8
12 38 -3
12 28 8
13 32 3
13 29 9
13 47 0
13 53 -5
13 26 -6
13 48 -6
13 19 -3
13 18 9
13 38 -9
13 51 4
13 39 9
14 50 -8
14 23 1
14 8 7
14 38 -1
14 40 -9
14 9 -7
14 25 3
15 32 -9
15 30 -2
15 44 1
15 4 -1
16 56 6
16 26 3
16 8 4
16 30 8
16 47 7
16 24 2
17 18 1
17 50 4
17 53 3
17 1 -9
17 48 5
17 51 -3
17 3 5
17 10 9
17 2 1
17 43 -6
18 23 9
18 10 6
18 30 7
18 51 0
18 29 7
18 1 -5
18 9 7
18 19 9
18 8 1
18 14 6
19 18 -1
19 38 -10
19 30 -3
19 45 -6
19 47 5
19 25 7
19 42 7
19 4 7
19 48 -10
19 12 9
20 13 5
20 1 -3
20 6 8
20 40 -5
20 45 6
20 56 -1
20 5 -2
20 3 -1
20 30 -10
20 48 -7
21 26 -7
21 9 -5
21 23 -8
21 48 -9
21 47 0
21 6 4
21 33 -6
21 46 2
22 1 1
22 29 -5
22 48 0
22 47 -9
22 17 -8
22 28 1
22 31 9
22 21 9
22 51 -6
22 8 5
23 5 -3
23 24 10
23 16 10
23 15 -6
23 2 2
23 55 -6
23 35 -7
23 11 -10
23 13 3
23 14 -2
23 31 -3
23 38 -7
24 18 7
24 53 7
24 43 5
24 52 4
24 34 6
24 35 -2
24 17 9
24 14 7
24 15 7
24 9 -2
24 23 -5
25 32 -6
25 24 7
25 18 4
25 45 -7
25 51 9
25 29 10
25 34 4
25 19 -3
25 52 -8
25 12 -2
25 13 -6
25 31 5
26 27 6
26 17 -9
26 8 0
26 40 1
26 29 10
26 48 -8
26 4 6
27 15 8
27 48 4
27 42 4
27 40 3
27 28 -4
27 8 -2
27 46 10
27 13 2
28 21 1
28 47 -1
28 39 -10
28 54 4
28 9 6
28 6 0
28 52 -10
28 45 -5
28 50 10
29 32 -5
29 6 -8
29 35 -8
29 3 1
29 20 8
29 51 8
30 18 7
30 1 -8
30 5 8
30 37 -2
30 44 -1
30 55 -8
31 3 4
31 34 6
31 11 -1
31 49 -2
31 25 7
31 19 5
31 8 3
31 16 -8
32 11 10
32 53 -1
32 29 4
32 23 -2
32 26 0
32 31 -6
32 17 -3
32 19 6
32 55 -6
32 50 5
32 16 -7
33 20 1
33 56 -4
33 47 1
33 28 6
33 35 3
33 34 -10
33 5 3
33 9 4
33 25 -6
34 43 -2
34 41 8
34 50 -3
34 5 2
34 8 4
34 13 -2
35 22 9
35 4 -1
35 2 5
35 28 -2
35 36 1
35 24 -3
35 52 3
35 56 5
35 51 4
36 20 9
36 45 -2
36 29 2
36 33 8
36 44 -2
36 34 -9
37 1 9
37 2 10
37 3 -6
37 20 5
37 23 8
37 21 9
38 45 -4
38 32 -5
38 3 -7
38 4 5
38 56 -10
38 16 -8
38 22 9
38 51 -3
38 8 -10
38 7 -9
38 20 -1
39 9 -4
39 52 -7
39 36 4
39 40 4
39 8 -4
39 2 0
39 13 -4
40 51 0
40 41 -9
40 2 3
40 48 1
40 27 2
40 26 -7
40 8 -4
40 23 5
40 36 4
40 24 8
41 53 2
41 34 -6
41 43 -4
41 44 -4
41 13 2
41 24 5
41 15 -7
41 51 -6
41 29 7
41 27 -5
41 30 -1
41 9 4
41 31 -8
41 23 5
41 26 -6
41 11 10
42 21 0
42 40 0
42 56 5
42 9 -1
42 10 -5
42 25 -5
42 52 9
42 28 -3
42 37 -5
42 2 -8
43 36 -10
43 3 -6
43 34 -5
43 11 0
43 4 4
43 17 -9
43 20 5
43 56 -10
43 27 7
43 47 -5
43 38 -7
43 16 5
44 22 10
44 27 5
44 37 0
44 46 -9
44 13 3
44 32 -2
44 9 -10
44 38 5
44 51 10
44 41 3
44 16 10
44 40 7
44 56 10
45 46 1
45 29 2
45 55 3
45 34 -5
45 43 3
45 5 4
45 28 -9
45 18 5
46 50 -6
46 21 9
46 43 -8
46 8 -7
46 7 1
46 18 -5
46 23 -8
46 39 8
46 10 -2
46 24 9
46 20 4
47 19 0
47 40 -9
47 11 9
47 20 1
47 21 6
47 42 10
47 56 -6
47 36 8
48 12 10
48 17 0
48 3 -9
48 29 2
48 54 -7
48 22 -7
49 24 -1
49 16 -8
49 4 -7
49 38 -2
49 9 0
49 23 9
49 32 6
49 47 7
50 9 8
50 15 -7
50 33 4
50 41 10
50 17 9
50 45 4
51 48 5
51 3 6
51 34 4
51 21 2
51 5 -6
51 39 -9
51 1 2
51 40 5
51 15 6
51 45 -6
51 2 -5
52 7 -7
52 24 -1
52 16 -5
52 51 -8
52 18 3
52 8 1
52 46 2
52 43 -8
52 42 2
52 22 -6
52 27 2
53 43 8
53 29 0
53 4 4
53 51 1
53 3 9
53 21 -5
53 45 -9
53 18 1
53 16 3
53 46 -4
53 27 -3
53 14 2
53 47 -2
54 4 0
54 28 -3
54 38 7
54 47 -2
54 29 -3
54 21 -10
54 2 -3
54 23 -7
54 26 2
54 24 -2
54 43 4
55 8 4
55 29 8
55 42 -3
55 53 -1
55 39 -4
55 25 1
55 51 10
55 48 3
55 46 -8
56 39 -8
56 14 0
56 15 -3
56 34 -10
56 54 -1
56 48 7
56 55 -3
56 36 -4
56 52 -3
56 47 6
