27 439
1 11 -7
1 23 4
1 9 -3
1 19 8
1 27 -9
1 16 10
1 20 -8
1 14 2
1 17 -10
1 8 7
1 18 5
1 12 9
1 13 -6
1 21 4
1 2 -1
1 6 -7
1 7 -10
1 26 -2
2 24 5
2 26 5
2 13 3
2 22 7
2 10 5
2 4 0
2 20 6
2 15 9
2 6 -7
2 16 -3
2 18 -4
2 23 8
2 5 8
2 25 3
2 11 -5
3 4 -2
3 26 10
3 2 -5
3 17 8
3 21 -7
3 24 8
3 12 10
3 18 -10
3 11 -8
3 20 8
3 23 9
3 9 7
3 16 -3
3 7 2
3 19 -1
3 15 -2
4 15 2
4 3 -10
4 2 10
4 26 0
4 7 -7
4 8 -5
4 27 10
4 20 1
4 1 -10
4 10 7
4 19 2
4 23 -9
4 14 -2
5 23 -8
5 21 6
5 4 -7
5 8 9
5 18 -3
5 13 0
5 7 -1
5 11 4
5 3 5
5 25 -7
5 19 2
5 10 -9
5 1 3
5 9 9
6 20 9
6 15 -10
6 3 -3
6 5 -9
6 10 -1
6 23 6
6 24 -5
6 4 -5
6 2 3
6 13 -9
6 8 -1
6 19 -1
6 17 -4
7 21 2
7 15 -6
7 24 -5
7 5 1
7 20 9
7 3 3
7 17 1
7 8 -8
7 12 1
7 23 4
7 16 -8
7 19 -4
7 6 -9
7 10 7
7 11 -3
7 14 6
8 24 0
8 23 -1
8 21 -5
8 10 7
8 7 10
8 20 1
8 16 -9
8 14 5
8 26 -2
8 1 -2
8 2 9
8 6 -10
9 19 6
9 24 7
9 3 6
9 4 -9
9 14 -7
9 16 0
9 20 5
9 2 4
9 21 3
9 11 -4
9 15 5
9 23 -2
9 8 -5
9 7 7
9 10 2
9 6 -10
9 12 -5
9 17 -2
9 26 -2
9 1 10
10 23 7
10 25 -8
10 6 -3
10 22 -9
10 16 2
10 18 5
10 17 -3
10 7 -5
10 19 -10
10 4 4
10 11 4
10 8 5
10 27 -1
10 26 -3
10 3 -7
11 23 0
11 21 -1
11 27 9
11 15 -7
11 8 -1
11 26 2
11 13 6
11 3 6
11 10 10
11 24 -5
11 25 4
11 7 1
11 19 -5
11 14 -4
11 18 -1
12 1 -3
12 2 7
12 21 -10
12 3 -1
12 16 -2
12 15 6
12 19 7
12 13 1
12 9 1
12 17 -1
12 14 -2
12 26 7
12 4 2
12 11 8
12 10 -4
12 6 -3
12 22 1
12 8 3
13 11 -1
13 14 4
13 19 -4
13 1 -6
13 22 7
13 26 2
13 20 -6
13 25 -4
13 4 9
13 16 -6
13 7 10
13 21 7
13 2 -3
13 27 4
13 24 -7
14 21 4
14 7 0
14 9 -2
14 16 8
14 24 -3
14 20 -6
14 3 2
14 10 7
14 5 -4
14 17 -8
14 18 4
14 22 -9
14 26 -8
15 4 -9
15 2 8
15 1 6
15 23 -7
15 24 4
15 22 -3
15 16 -4
15 26 0
15 25 5
15 21 0
15 7 -10
15 13 -2
15 27 -5
15 19 -7
15 18 6
15 6 -10
15 9 -10
15 17 5
15 5 -5
15 12 8
15 14 0
