58 490
1 2 -3
1 10 2
1 43 -9
1 44 3
1 11 3
1 58 1
1 4 -9
1 55 10
1 16 5
2 4 7
2 20 3
2 55 4
2 5 6
2 40 -9
2 28 -10
2 30 0
2 6 -9
2 54 7
2 3 0
2 23 -9
3 6 3
3 5 5
3 15 0
3 58 5
3 10 -4
3 12 -6
3 38 -9
3 50 5
3 9 7
3 55 3
3 57 -2
4 51 1
4 24 4
4 30 -9
4 43 -9
4 9 9
4 22 6
4 32 9
4 45 -4
5 17 -3
5 46 -2
5 35 -3
5 58 -2
5 1 -9
5 45 -7
5 25 0
5 13 -7
6 35 2
6 26 5
6 51 -10
6 33 9
6 44 8
6 34 2
6 42 10
6 31 -2
7 28 -3
7 5 -7
7 57 -8
7 22 1
7 15 7
7 31 -9
7 51 1
7 58 -2
7 38 0
8 7 5
8 48 1
8 55 -2
8 23 5
8 5 -8
8 49 -2
8 40 -2
9 15 3
9 2 -3
9 26 -1
9 38 8
9 54 -6
10 55 -8
10 15 -10
10 43 2
10 57 3
10 54 -7
10 41 4
10 22 -7
11 58 -5
11 2 -4
11 53 6
11 34 -3
11 31 10
12 50 -1
12 26 4
12 40 -7
12 6 0
12 14 10
12 11 9
12 28 5
12 2 -4
12 51 3
12 54 -3
13 44 1
13 21 5
13 16 -7
13 7 -8
13 15 2
14 17 7
14 58 7
14 49 -8
14 4 5
14 54 7
14 44 6
14 23 -1
15 2 8
15 40 -9
15 12 -5
15 27 4
15 48 -1
15 32 -6
15 17 3
15 53 7
15 8 -2
15 57 9
15 28 -6
15 25 -1
15 50 -10
16 11 5
16 32 -9
16 20 1
16 31 -3
16 15 0
16 57 3
16 25 10
17 6 -7
17 45 4
17 39 -10
17 33 8
17 55 8
17 9 -7
17 49 -9
17 2 4
17 31 10
17 46 3
17 40 -6
18 55 -10
18 10 7
18 23 -3
18 27 1
18 25 -5
18 12 2
19 4 3
19 21 9
19 13 2
19 8 9
19 54 2
19 37 -5
20 49 6
20 29 8
20 41 -10
20 53 -8
20 19 1
20 35 -6
20 3 9
20 11 9
20 30 10
20 32 6
20 34 -8
20 40 3
20 1 -4
20 10 10
21 38 7
21 58 9
21 5 -6
21 29 -9
21 22 3
21 2 -8
21 4 -9
21 36 -8
21 44 -8
21 19 -10
21 46 6
21 31 10
22 13 -7
22 26 -7
22 39 -5
22 42 -8
22 8 -10
22 44 7
23 19 6
23 21 -7
23 34 -3
23 46 -1
23 33 -5
23 42 -7
23 7 10
23 4 6
23 53 -7
23 58 -3
23 37 -9
24 40 0
24 8 0
24 51 7
24 27 2
24 5 -4
24 34 10
24 2 5
24 4 -4
24 13 -1
24 56 3
25 47 10
25 1 4
25 39 -2
25 35 1
25 54 9
26 19 -9
26 49 -8
26 36 -10
26 55 -4
26 12 -1
26 53 -4
26 32 -5
26 31 -5
26 57 3
26 20 -2
26 13 6
27 55 -5
27 39 -6
27 21 8
27 9 6
27 19 -6
27 1 -9
27 52 -8
28 5 4
28 49 -4
28 55 1
28 13 -9
28 7 9
28 16 -1
28 58 4
28 1 -8
29 39 2
29 50 7
29 22 7
29 8 -5
29 49 -5
29 21 -2
29 26 -9
29 52 -3
29 4 -7
29 16 2
29 25 -6
30 21 3
30 6 3
30 32 4
30 4 -6
30 53 3
30 5 7
30 56 -6
30 29 -5
30 13 8
30 28 3
30 14 -10
30 26 9
31 28 -8
31 52 2
31 56 -9
31 15 0
31 24 -4
31 23 1
31 2 8
31 40 -5
32 43 -4
32 57 -1
32 1 3
32 9 -8
32 48 -2
32 40 0
32 37 8
32 11 5
33 2 -10
33 3 -5
33 34 1
33 40 3
33 13 8
33 8 8
33 57 2
33 26 -2
33 44 0
33 38 -4
33 11 8
34 29 9
34 24 9
34 8 -3
34 5 -2
34 19 -5
34 1 6
35 24 -9
35 22 1
35 49 7
35 40 -5
35 45 -2
35 58 7
35 38 1
35 44 7
35 53 2
36 19 -9
36 48 -5
36 54 -9
36 9 -5
36 58 -4
36 30 -5
36 1 -10
37 34 7
37 21 9
37 5 -9
38 53 -3
38 36 -2
38 47 -5
38 31 -7
38 49 -4
38 45 -2
38 14 -3
39 37 2
39 21 10
39 45 9
40 32 -9
40 5 1
40 8 0
40 1 -8
40 46 1
40 39 3
40 37 4
40 49 -7
41 10 9
41 18 0
41 52 8
41 30 7
41 11 -9
41 50 5
41 39 3
41 6 0
41 5 10
41 22 -10
42 33 -5
42 49 1
42 25 7
42 57 -7
42 20 -4
42 22 -3
42 18 -5
43 56 8
43 55 -2
43 50 -7
43 9 -2
43 51 2
43 17 4
43 24 4
43 41 6
43 6 3
43 31 0
44 41 7
44 13 9
44 37 -2
44 52 -1
44 32 6
44 6 0
44 27 -8
44 38 -4
44 24 -6
44 49 -3
45 32 0
45 21 -1
45 53 -2
45 56 -8
45 14 4
45 19 -4
45 33 0
45 1 6
45 51 4
45 13 -10
45 44 -6
45 57 6
45 31 3
45 58 1
45 12 -2
45 39 -3
46 25 -8
46 5 -4
46 47 8
46 41 -1
46 51 -7
46 42 -3
46 43 2
46 14 2
47 24 10
47 56 -1
47 17 -9
48 26 2
48 41 3
48 1 2
48 32 -3
48 56 9
48 20 0
48 36 -6
48 11 9
49 12 -8
49 39 -5
49 23 -3
49 54 1
49 26 -3
49 31 -7
49 13 -1
49 6 -3
49 7 7
49 46 10
49 14 0
50 29 -5
50 9 1
50 23 9
50 22 -4
50 33 -3
50 46 1
50 40 -10
51 45 6
51 27 1
51 25 5
51 24 -4
51 54 4
51 28 7
51 26 -6
51 13 -6
51 1 -6
51 7 8
51 58 7
52 20 4
52 31 9
52 53 5
52 35 -7
52 46 0
52 54 7
52 5 -9
52 41 -3
52 24 3
52 57 -3
53 38 -6
53 15 -9
53 21 0
53 22 -4
53 6 5
53 47 10
53 18 -6
53 1 3
53 56 9
53 5 -7
53 46 -10
54 17 2
54 22 4
54 19 5
54 58 6
54 52 -2
55 38 9
55 48 -3
55 46 2
55 12 -2
55 28 2
55 31 -2
55 36 -6
55 13 -9
55 49 -8
56 52 -6
56 58 -3
56 50 -5
56 24 0
56 45 -9
56 6 -5
56 35 5
56 12 -9
57 7 8
57 12 9
57 39 3
57 2 -9
57 41 10
58 19 -2
58 3 -8
58 4 3
58 43 9
58 55 -9
58 15 -9
58 44 5
58 11 -10
58 38 -7
58 34 6
58 30 -6
